first_name,last_name,abbreviation,team,position,fantasy_points
Devin,Singletary,D.Singletary,NYG,RB,108.80000000000001
Sean,Clifford,S.Clifford,CIN,QB,0.0
Dyami,Brown,D.Brown,JAX,WR,49.7
Ja'Marr,Chase,J.Chase,CIN,WR,313.6
Kenneth,Gainwell,K.Gainwell,PIT,RB,221.3
Drake,London,D.London,ATL,WR,201.9
Dontayvion,Wicks,D.Wicks,GB,WR,75.80000000000001
Mike,White,M.White,CAR,QB,0.0
Malik,Willis,M.Willis,GB,QB,51.18
Jacoby,Brissett,J.Brissett,ARI,QB,227.44000000000003
C.J.,Beathard,C.Beathard,DET,QB,0.0
Cooper,Rush,C.Rush,BAL,QB,1.7200000000000006
Logan,Woodside,L.Woodside,ARI,QB,0.0
Mason,Rudolph,M.Rudolph,PIT,QB,15.0
Carson,Wentz,C.Wentz,MIN,QB,70.34
Jake,Browning,J.Browning,CIN,QB,48.74
Dak,Prescott,D.Prescott,DAL,QB,313.78
Kirk,Cousins,K.Cousins,ATL,QB,103.54
Brock,Purdy,B.Purdy,SF,QB,177.38
Tua,Tagovailoa,T.Tagovailoa,MIA,QB,160.7
Nick,Mullens,N.Mullens,JAX,QB,-0.040000000000000036
Daniel,Jones,D.Jones,IND,QB,226.14000000000001
Jared,Goff,J.Goff,DET,QB,297.06
Lamar,Jackson,L.Jackson,BAL,QB,214.86
Patrick,Mahomes,P.Mahomes,KC,QB,285.68
Joe,Burrow,J.Burrow,CIN,QB,134.45999999999998
Derrick,Henry,D.Henry,BAL,RB,279.5
Jakobi,Meyers,J.Meyers,JAX,WR,113.9
Josh,Allen,J.Allen,BUF,QB,364.62
Russell,Wilson,Ru.Wilson,NYG,QB,0.0
Tyson,Bagent,T.Bagent,CHI,QB,2.58
Kyler,Murray,K.Murray,ARI,QB,77.78
Trevor,Lawrence,T.Lawrence,JAX,QB,338.18
Jalen,Hurts,J.Hurts,PHI,QB,301.06
Marcus,Mariota,M.Mariota,WAS,QB,125.5
Justin,Herbert,J.Herbert,LAC,QB,286.88
Jimmy,Garoppolo,J.Garoppolo,LA,QB,-1.0
Mac,Jones,M.Jones,SF,QB,130.04000000000002
Geno,Smith,G.Smith,LV,QB,173.9
Tyrod,Taylor,T.Taylor,NYJ,QB,59.46
Baker,Mayfield,B.Mayfield,TB,QB,271.92
Jordan,Love,J.Love,GB,QB,235.14000000000001
Desmond,Ridder,D.Ridder,GB,QB,0.0
Case,Keenum,C.Keenum,CHI,QB,0.0
Tommy,DeVito,T.DeVito,NE,QB,0.0
C.J.,Stroud,C.Stroud,HOU,QB,208.54
Easton,Stick,E.Stick,ATL,QB,0.0
Sam,Howell,S.Howell,PHI,QB,0.0
Drew,Lock,D.Lock,SEA,QB,0.09999999999999998
Joshua,Dobbs,J.Dobbs,NE,QB,2.1
Mitchell,Trubisky,M.Trubisky,BUF,QB,31.119999999999997
Matthew,Stafford,M.Stafford,LA,QB,350.38
Gardner,Minshew,G.Minshew,KC,QB,-0.32000000000000006
Aidan,O'Connell,A.O'Connell,LV,QB,4.78
Kenny,Pickett,K.Pickett,LV,QB,7.720000000000001
Deshaun,Watson,D.Watson,CLE,QB,0.0
Justin,Fields,J.Fields,NYJ,QB,142.66
Sam,Darnold,S.Darnold,SEA,QB,235.42000000000002
Jarrett,Stidham,J.Stidham,DEN,QB,-0.1
Joe,Flacco,J.Flacco,CIN,QB,132.95999999999998
Zach,Wilson,Z.Wilson,MIA,QB,1.3800000000000001
Bailey,Zappe,B.Zappe,NYJ,QB,0.0
Bryce,Young,B.Young,CAR,QB,218.04
Anthony,Richardson Sr.,A.Richardson,IND,QB,2.16
Andy,Dalton,A.Dalton,CAR,QB,9.520000000000001
Will,Levis,W.Levis,TEN,QB,0.0
Clayton,Tune,C.Tune,GB,QB,1.9800000000000004
Tyler,Huntley,T.Huntley,BAL,QB,40.14
Trevor,Siemian,T.Siemian,TEN,QB,0.0
Taysom,Hill,T.Hill,NO,QB,41.78
Jameis,Winston,J.Winston,NYG,QB,43.28
Keenan,Allen,Ke.Allen,LAC,WR,0.0
Jeff,Driskel,J.Driskel,WAS,QB,0.0
Christian,Kirk,C.Kirk,HOU,WR,57.900000000000006
Brett,Rypien,B.Rypien,MIN,QB,0.0
Davis,Mills,D.Mills,HOU,QB,68.6
Aaron,Rodgers,A.Rodgers,PIT,QB,227.07999999999998
DeAndre,Hopkins,D.Hopkins,BAL,WR,67.0
Tanner,Hudson,T.Hudson,CIN,TE,47.8
Jonnu,Smith,J.Smith,PIT,TE,85.2
Chris,Godwin Jr.,C.Godwin,TB,WR,83.0
Parris,Campbell,P.Campbell,DAL,WR,0.0
Deebo,Samuel,D.Samuel,WAS,WR,188.2
Kyle,Trask,K.Trask,ATL,QB,0.0
Cedrick,Wilson Jr.,C.Wilson,MIA,WR,9.4
Josh,Jacobs,J.Jacobs,GB,RB,237.10000000000002
Cam,Akers,C.Akers,SEA,RB,0.0
Malik,Cunningham,M.Cunningham,DET,WR,0.1
DeeJay,Dallas,D.Dallas,JAX,RB,2.1
Connor,Heyward,Co.Heyward,PIT,TE,27.4
Justin,Jefferson,Ju.Jefferson,MIN,WR,0.0
Tank,Dell,T.Dell,HOU,WR,0.0
Amon-Ra,St. Brown,A.St. Brown,DET,WR,324.0
De'Von,Achane,D.Achane,MIA,RB,322.1
Garrett,Wilson,G.Wilson,NYJ,WR,99.5
Christian,McCaffrey,C.McCaffrey,SF,RB,414.6
Kyren,Williams,K.Williams,LA,RB,263.3
James,Cook III,J.Cook,BUF,RB,302.20000000000005
D'Andre,Swift,D.Swift,CHI,RB,227.7
James,Conner,J.Conner,ARI,RB,33.3
Najee,Harris,N.Harris,LAC,RB,11.600000000000001
Joe,Mixon,J.Mixon,HOU,RB,0.0
David,Montgomery,D.Montgomery,DET,RB,166.92000000000002
Raheem,Mostert,R.Mostert,LV,RB,29.4
Travis,Etienne Jr.,T.Etienne,JAX,RB,254.3
Tony,Pollard,T.Pollard,TEN,RB,185.8
Breece,Hall,B.Hall,NYJ,RB,207.66
Rachaad,White,R.White,TB,RB,143.0
Bijan,Robinson,B.Robinson,ATL,RB,374.4
Saquon,Barkley,S.Barkley,PHI,RB,232.3
Jahmyr,Gibbs,J.Gibbs,DET,RB,366.6
Isiah,Pacheco,I.Pacheco,KC,RB,87.30000000000001
Kenneth,Walker III,K.Walker,SEA,RB,191.9
Chuba,Hubbard,C.Hubbard,CAR,RB,125.4
Jerome,Ford,J.Ford,CLE,RB,43.6
Jaylen,Warren,J.Warren,PIT,RB,217.10000000000002
Javonte,Williams,J.Williams,DAL,RB,260.1
Jonathan,Taylor,J.Taylor,IND,RB,362.3
Brian,Robinson Jr.,B.Robinson,SF,RB,83.7
Alexander,Mattison,A.Mattison,MIA,RB,0.0
Alvin,Kamara,A.Kamara,NO,RB,100.7
Tyler,Allgeier,T.Allgeier,ATL,RB,123.0
Aaron,Jones Sr.,A.Jones,MIN,RB,118.7
Austin,Ekeler,A.Ekeler,WAS,RB,13.1
Rhamondre,Stevenson,R.Stevenson,NE,RB,178.8
AJ,Dillon,A.Dillon,PHI,RB,9.1
Khalil,Herbert,K.Herbert,NYJ,RB,6.6000000000000005
Zach,Charbonnet,Z.Charbonnet,SEA,RB,181.4
Ty,Chandler,T.Chandler,MIN,RB,8.8
Tyjae,Spears,T.Spears,TEN,RB,111.7
Zamir,White,Z.White,LV,RB,9.600000000000001
Miles,Sanders,M.Sanders,DAL,RB,26.700000000000003
Dameon,Pierce,D.Pierce,KC,RB,1.0
Kareem,Hunt,K.Hunt,KC,RB,145.4
Jaleel,McLaughlin,J.McLaughlin,DEN,RB,31.4
Keaton,Mitchell,K.Mitchell,BAL,RB,55.400000000000006
Justice,Hill,J.Hill,BAL,RB,65.2
Rico,Dowdle,R.Dowdle,CAR,RB,216.3
Roschon,Johnson,Ros.Johnson,CHI,RB,0.0
Royce,Freeman,R.Freeman,LAC,RB,0.0
Pierre,Strong Jr.,P.Strong,GB,RB,0.0
Emari,Demercado,E.Demercado,ARI,RB,58.300000000000004
Elijah,Mitchell,E.Mitchell,NE,RB,0.0
Antonio,Gibson,A.Gibson,NE,RB,17.200000000000003
Chris,Rodriguez Jr.,C.Rodriguez,WAS,RB,92.0
Samaje,Perine,S.Perine,CIN,RB,77.9
Clyde,Edwards-Helaire,C.Edwards-Helaire,KC,RB,4.2
Jordan,Mason,J.Mason,MIN,RB,128.89999999999998
Jeff,Wilson Jr.,J.Wilson,MIA,RB,0.0
Michael,Carter,M.Carter,ARI,RB,99.0
Chase,Brown,C.Brown,CIN,RB,280.3
Craig,Reynolds,C.Reynolds,NE,RB,0.0
Rondale,Moore,R.Moore,MIN,WR,0.0
Chase,Edmonds,C.Edmonds,WAS,RB,0.0
Nick,Chubb,N.Chubb,HOU,RB,88.30000000000001
Trey,Sermon,T.Sermon,PIT,RB,0.0
Kendre,Miller,K.Miller,NO,RB,33.3
Patrick,Taylor Jr.,P.Taylor,SF,RB,0.0
Ty,Johnson,Ty.Johnson,BUF,RB,97.1
Tank,Bigsby,T.Bigsby,PHI,RB,52.6
Ronnie,Rivers,R.Rivers,LA,RB,4.6000000000000005
Jayden,Reed,J.Reed,GB,WR,48.5
CeeDee,Lamb,C.Lamb,DAL,WR,200.9
KaVontae,Turpin,K.Turpin,DAL,WR,84.5
D'Ernest,Johnson,D.Johnson,NE,RB,2.5
Chris,Brooks,C.Brooks,GB,RB,32.7
Derius,Davis,D.Davis,LAC,WR,1.5
Damien,Harris,D.Harris,BUF,RB,0.0
Ameer,Abdullah,A.Abdullah,IND,RB,35.9
Puka,Nacua,P.Nacua,LA,WR,375.0
Tyler,Goodson,T.Goodson,IND,RB,5.2
Wan'Dale,Robinson,W.Robinson,NYG,WR,217.9
Emanuel,Wilson,E.Wilson,GB,RB,94.5
Tre,Tucker,T.Tucker,LV,WR,161.7
Kalif,Raymond,K.Raymond,DET,WR,60.8
Ihmir,Smith-Marsette,I.Smith-Marsette,NYG,WR,0.0
Keaontay,Ingram,K.Ingram,KC,RB,0.0
Israel,Abanikanda,I.Abanikanda,DAL,RB,0.0
Trayveon,Williams,T.Williams,CLE,RB,16.2
Xavier,Gipson,X.Gipson,NYG,WR,1.3
Salvon,Ahmed,S.Ahmed,IND,RB,0.0
Calvin,Austin III,C.Austin,PIT,WR,86.2
Deven,Thompkins,D.Thompkins,ATL,WR,6.2
Zay,Flowers,Z.Flowers,BAL,WR,243.3
Velus,Jones Jr.,V.Jones,SEA,RB,3.2
Tyquan,Thornton,T.Thornton,KC,WR,80.80000000000001
Xavier,Hutchinson,X.Hutchinson,HOU,WR,98.0
Eric,Gray,E.Gray,NYG,RB,0.0
Raheem,Blackshear,R.Blackshear,NYJ,RB,0.0
DeMario,Douglas,D.Douglas,NE,WR,95.80000000000001
Tyler,Scott,T.Scott,LA,WR,0.0
Deuce,Vaughn,D.Vaughn,DEN,RB,0.0
Chris,Moore,C.Moore,WAS,WR,38.6
Curtis,Samuel,C.Samuel,BUF,WR,21.1
Rashid,Shaheed,R.Shaheed,SEA,WR,48.4
Brandin,Cooks,B.Cooks,BUF,WR,21.6
Dare,Ogunbowale,D.Ogunbowale,HOU,RB,24.1
Tutu,Atwell,T.Atwell,LA,WR,31.200000000000003
Ray-Ray,McCloud III,R.McCloud,NYG,WR,1.5
Marvin,Mims Jr.,M.Mims,DEN,WR,87.0
Jameson,Williams,J.Williams,DET,WR,219.9
Demarcus,Robinson,D.Robinson,SF,WR,58.2
Calvin,Ridley,C.Ridley,TEN,WR,47.3
Hollywood,Brown,H.Brown,KC,WR,0.0
Skyy,Moore,S.Moore,SF,WR,14.8
Sean,Tucker,S.Tucker,TB,RB,91.4
J.K.,Dobbins,J.Dobbins,DEN,RB,115.9
Trey,Palmer,Tr.Palmer,NO,WR,0.0
DJ,Moore,D.Moore,CHI,WR,168.68
Gary,Brightwell,G.Brightwell,CIN,RB,0.0
Hunter,Luepke,H.Luepke,DAL,RB,37.0
DeAndre,Carter,D.Carter,CLE,WR,0.0
Rashod,Bateman,R.Bateman,BAL,WR,55.400000000000006
George,Pickens,G.Pickens,DAL,WR,291.9
Treylon,Burks,T.Burks,WAS,WR,29.0
Tyreek,Hill,T.Hill,MIA,WR,55.2
Devin,Duvernay,D.Duvernay,CHI,WR,4.6
Kene,Nwangwu,K.Nwangwu,NYJ,RB,4.9
Charlie,Jones,C.Jones,CIN,WR,0.0
Bam,Knight,B.Knight,ARI,RB,0.0
Adam,Prentice,A.Prentice,DEN,FB,15.700000000000001
Jaylen,Waddle,J.Waddle,MIA,WR,194.12
Braxton,Berrios,B.Berrios,HOU,WR,9.7
Jonathan,Ward,J.Ward,BAL,RB,0.0
Christian,Watson,C.Watson,GB,WR,132.4
Elijah,Moore,E.Moore,DEN,WR,0.0
Khalil,Shakir,K.Shakir,BUF,WR,163.10000000000002
Michael,Burton,M.Burton,DEN,FB,0.0
Ben,Skowronek,B.Skowronek,PIT,WR,16.9
Quentin,Johnston,Q.Johnston,LAC,WR,171.2
Harrison,Bryant,H.Bryant,HOU,TE,2.7
Cedric,Tillman,C.Tillman,CLE,WR,60.0
C.J.,Ham,C.Ham,MIN,FB,15.6
Nico,Collins,N.Collins,HOU,WR,226.2
Kyle,Juszczyk,K.Juszczyk,SF,FB,57.0
Adam,Thielen,A.Thielen,PIT,WR,25.8
Sterling,Shepard,S.Shepard,TB,WR,82.0
Joshua,Palmer,J.Palmer,BUF,WR,52.3
Elijah,Dotson,E.Dotson,ATL,RB,0.0
Chig,Okonkwo,C.Okonkwo,TEN,TE,124.0
Stefon,Diggs,S.Diggs,NE,WR,210.3
Greg,Dortch,G.Dortch,ARI,WR,75.1
Darnell,Mooney,D.Mooney,ATL,WR,82.30000000000001
Dee,Eskridge,D.Eskridge,MIA,WR,8.2
Kendrick,Bourne,K.Bourne,SF,WR,92.1
Nick,Bawden,N.Bawden,HOU,RB,0.0
Van,Jefferson,V.Jefferson,TEN,WR,70.0
Sam,LaPorta,S.LaPorta,DET,TE,106.9
John,Metchie III,J.Metchie,NYJ,WR,66.1
Andrew,Beck,A.Beck,NYJ,FB,23.0
Mecole,Hardman Jr.,M.Hardman,BUF,WR,-2.0
Jake,Bobo,J.Bobo,SEA,WR,4.0
George,Kittle,G.Kittle,SF,TE,161.5
Kylen,Granson,K.Granson,PHI,TE,11.0
Cole,Kmet,C.Kmet,CHI,TE,78.7
Jordan,Addison,J.Addison,MIN,WR,135.1
Dallas,Goedert,D.Goedert,PHI,TE,185.1
Steven,Sims,S.Sims,ARI,WR,0.0
Noah,Gray,N.Gray,KC,TE,38.8
Jashaun,Corbin,J.Corbin,NE,RB,0.0
Evan,Hull,E.Hull,NO,RB,6.4
KhaDarel,Hodge,K.Hodge,ATL,WR,6.1
Mark,Andrews,M.Andrews,BAL,TE,131.0
Tyler,Conklin,T.Conklin,LAC,TE,17.3
Alec,Ingold,A.Ingold,MIA,FB,14.100000000000001
Noah,Brown,N.Brown,WAS,WR,13.3
Teddy,Bridgewater,T.Bridgewater,TB,QB,2.88
Trent,Taylor,T.Taylor,SF,WR,0.0
Jamal,Agnew,J.Agnew,WAS,WR,0.0
Gabe,Davis,G.Davis,BUF,WR,30.9
Cooper,Kupp,C.Kupp,SEA,WR,116.30000000000001
Rashee,Rice,R.Rice,KC,WR,150.1
Kyle,Pitts Sr.,K.Pitts,ATL,TE,210.8
Kyle,Allen,Ky.Allen,DET,QB,0.0
A.J.,Brown,A.Brown,PHI,WR,220.3
Brandon,Aiyuk,B.Aiyuk,SF,WR,0.0
Mike,Evans,M.Evans,TB,WR,91.6
Michael,Pittman Jr.,M.Pittman,IND,WR,203.3
Davante,Adams,D.Adams,LA,WR,222.9
Chris,Olave,C.Olave,NO,WR,268.0
DK,Metcalf,D.Metcalf,PIT,WR,187.2
DeVonta,Smith,D.Smith,PHI,WR,201.8
Terry,McLaurin,T.McLaurin,WAS,WR,114.2
Travis,Kelce,T.Kelce,KC,TE,193.2
Evan,Engram,E.Engram,DEN,TE,102.80000000000001
T.J.,Hockenson,T.Hockenson,MIN,TE,112.80000000000001
Tyler,Lockett,T.Lockett,LV,WR,51.1
David,Njoku,D.Njoku,CLE,TE,86.3
