first_name,last_name,team,position
Devin,Singletary,NYG,RB
Sean,Clifford,CIN,QB
Dyami,Brown,JAX,WR
Ja'Marr,Chase,CIN,WR
Kenneth,Gainwell,PIT,RB
Drake,London,ATL,WR
Dontayvion,Wicks,GB,WR
Mike,White,CAR,QB
Malik,Willis,GB,QB
Jacoby,Brissett,ARI,QB
C.J.,Beathard,DET,QB
Cooper,Rush,BAL,QB
Logan,Woodside,ARI,QB
Mason,Rudolph,PIT,QB
Carson,Wentz,MIN,QB
Jake,Browning,CIN,QB
Dak,Prescott,DAL,QB
Kirk,Cousins,ATL,QB
Brock,Purdy,SF,QB
Tua,Tagovailoa,MIA,QB
Nick,Mullens,JAX,QB
Daniel,Jones,IND,QB
Jared,Goff,DET,QB
Lamar,Jackson,BAL,QB
Patrick,Mahomes,KC,QB
Joe,Burrow,CIN,QB
Derrick,Henry,BAL,RB
Jakobi,Meyers,JAX,WR
Josh,Allen,BUF,QB
Russell,Wilson,NYG,QB
Tyson,Bagent,CHI,QB
Kyler,Murray,ARI,QB
Trevor,Lawrence,JAX,QB
Jalen,Hurts,PHI,QB
Marcus,Mariota,WAS,QB
Justin,Herbert,LAC,QB
Jimmy,Garoppolo,LA,QB
Mac,Jones,SF,QB
Geno,Smith,LV,QB
Tyrod,Taylor,NYJ,QB
Baker,Mayfield,TB,QB
Jordan,Love,GB,QB
Desmond,Ridder,GB,QB
Case,Keenum,CHI,QB
Tommy,DeVito,NE,QB
C.J.,Stroud,HOU,QB
Easton,Stick,ATL,QB
Sam,Howell,PHI,QB
Drew,Lock,SEA,QB
Joshua,Dobbs,NE,QB
Mitchell,Trubisky,BUF,QB
Matthew,Stafford,LA,QB
Gardner,Minshew,KC,QB
Aidan,O'Connell,LV,QB
Kenny,Pickett,LV,QB
Deshaun,Watson,CLE,QB
Justin,Fields,NYJ,QB
Sam,Darnold,SEA,QB
Jarrett,Stidham,DEN,QB
Joe,Flacco,CIN,QB
Zach,Wilson,MIA,QB
Bailey,Zappe,NYJ,QB
Bryce,Young,CAR,QB
Anthony,Richardson Sr.,IND,QB
Andy,Dalton,CAR,QB
Will,Levis,TEN,QB
Clayton,Tune,GB,QB
Tyler,Huntley,BAL,QB
Trevor,Siemian,TEN,QB
Taysom,Hill,NO,QB
Jameis,Winston,NYG,QB
Keenan,Allen,LAC,WR
Jeff,Driskel,WAS,QB
Christian,Kirk,HOU,WR
Brett,Rypien,MIN,QB
Davis,Mills,HOU,QB
Aaron,Rodgers,PIT,QB
DeAndre,Hopkins,BAL,WR
