player_name,abbreviation
Tyreek Hill,T.Hill
David Montgomery,D.Montgomery
Javonte Williams,J.Williams
Deebo Samuel,D.Samuel
Amon-Ra St. Brown,A.St. Brown
Terry McLaurin,T.McLaurin
Brandon Aiyuk,B.Aiyuk
Joe Mixon,J.Mixon
Hollywood Brown,H.Brown
Zach Ertz,Z.Ertz
Tyrod Taylor,T.Taylor
Connor Heyward,Co.Heyward
Javonte Williams,J.Williams
Justice Hill,J.Hill
Juwan Johnson,J.Johnson
Josh Allen,J.Allen
Kyren Williams,K.Williams
Jayden Reed,J.Reed
Jayden Daniels,J.Daniels
Keenan Allen, K.Allen

A.J. Brown,A.Brown
Ahmarean Brown,A.Brown
Ainias Smith,A.Smith
Arian Smith,A.Smith
Braelon Allen,B.Allen
Brandon Allen,B.Allen
Brandon Smith,B.Smith
Brashard Smith,B.Smith
Cam Johnson,C.Johnson
Cornelius Johnson,C.Johnson
D'Ernest Johnson,D.Johnson
Dillon Johnson,D.Johnson
Dante Miller,D.Miller
Dymere Miller,D.Miller
D.J. Montgomery,D.Montgomery
David Montgomery,D.Montgomery
DJ Moore,D.Moore
David Moore,D.Moore
Jake Allen,J.Allen
Josh Allen,J.Allen
Ja'Corey Brooks,J.Brooks
Jalen Brooks,J.Brooks
Jonathon Brooks,J.Brooks
Julian Hill,J.Hill
Justice Hill,J.Hill
Ja'Quinden Jackson,J.Jackson
JaQuae Jackson,J.Jackson
Jha'Quan Jackson,J.Jackson
Justin Jackson,J.Jackson
Jermar Jefferson,J.Jefferson
Justin Jefferson,J.Jefferson
Jakob Johnson,J.Johnson
Jaylen Johnson,J.Johnson
Jerome Johnson,J.Johnson
Josh Johnson,J.Johnson
Juwan Johnson,J.Johnson
J.J. Jones,J.Jones
Jacoby Jones,J.Jones
Jeshaun Jones,J.Jones
Jesse Matthews,J.Matthews
John Matthews,J.Matthews
Jameson Williams,J.Williams
Javonte Williams,J.Williams
Josh Williams,J.Williams
Joel Wilson,J.Wilson
Johnny Wilson,J.Wilson
Jacardia Wright,J.Wright
Jaylen Wright,J.Wright
Kazmeir Allen,K.Allen
Keenan Allen,K.Allen
Kyle Allen,K.Allen
Kaleb Johnson,K.Johnson
Kameron Johnson,K.Johnson
Kisean Johnson,K.Johnson
Ke'Shawn Williams,K.Williams
Kyle Williams,K.Williams
Kyren Williams,K.Williams
Lamar Jackson,L.Jackson
Lucky Jackson,L.Jackson
Mike Evans,M.Evans
Mitchell Evans,M.Evans
Robert Johnson,R.Johnson
Roschon Johnson,R.Johnson
Roman Wilson,R.Wilson
Russell Wilson,R.Wilson
Taysom Hill,T.Hill
Tyreek Hill,T.Hill
Tez Johnson,T.Johnson
Theo Johnson,T.Johnson
Ty Johnson,Ty.Johnson
Tyler Johnson,T.Johnson
Tejhaun Palmer,T.Palmer
Trey Palmer,T.Palmer
Trent Taylor,T.Taylor
Tyrod Taylor,Ty.Taylor
