raw_name,normalized_name,position
K.Murray,KMurray,QB
S.Rattler,SRattler,QB
J.Herbert,JHerbert,QB
P.Mahomes,PMahomes,QB
C.Stroud,CStroud,QB
J.Allen,JAllen,QB
L.Jackson,LJackson,QB
D.Maye,DMaye,QB
J.Daniels,JDaniels,QB
R.Wilson,RWilson,QB
J.Fields,JFields,QB
A.Rodgers,ARodgers,QB
B.Wright,BWright,QB
J.Milroe,JMilroe,QB
B.Allen,BAllen,QB
K.Johnson,KJohnson,QB
G.Minshew,GMinshew,QB
K.Allen,KAllen,QB
J.Taylor,JTaylor,QB
D.Davis,DDavis,QB
R.Johnson,RJohnson,QB
S.Moore,SMoore,QB
D.Johnson,DJohnson,QB
T.Ferguson,TFerguson,QB
S.Darnold,SDarnold,QB
B.Purdy,BPurdy,QB
M.Penix,MPenix,QB
B.Mayfield,BMayfield,QB
C.Ward,CWard,QB
B.Nix,BNix,QB
M.Trubisky,MTrubisky,QB
T.Taylor,TTaylor,QB
T.Bagent,TBagent,QB
D.Gabriel,DGabriel,QB
R.Miller,RMiller,QB
J.Browning,JBrowning,QB
C.Brown,CBrown,QB
J.Johnson,JJohnson,QB
D.Brown,DBrown,QB
J.Garoppolo,JGaroppolo,QB
T.Bridgewater,TBridgewater,QB
M.Jones,MJones,QB
K.Cousins,KCousins,QB
C.Wentz,CWentz,QB
M.Brosmer,MBrosmer,QB
B.Rypien,BRypien,QB
J.Milton,JMilton,QB
J.Ferguson,JFerguson,QB
J.Palmer,JPalmer,QB
M.Mariota,MMariota,QB
T.Shough,TShough,QB
C.Rush,CRush,QB
A.Dalton,ADalton,QB
J.Dart,JDart,QB
D.Mills,DMills,QB
A.Richardson,ARichardson,QB
J.Reed,JReed,QB
J.Brissett,JBrissett,QB
T.Lance,TLance,QB
T.Huntley,THuntley,QB
C.Kupp,CKupp,QB
K.Pickett,KPickett,QB
Q.Ewers,QEwers,QB
A.Brown,ABrown,QB
D.Jones,DJones,QB
T.Tagovailoa,TTagovailoa,QB
Z.Wilson,ZWilson,QB
J.McCarthy,JMcCarthy,QB
C.Williams,CWilliams,QB
T.Martin,TMartin,QB
A.Smith,ASmith,QB
B.Young,BYoung,QB
J.Burrow,JBurrow,QB
J.Flacco,JFlacco,QB
J.Hurts,JHurts,QB
J.Love,JLove,QB
J.Goff,JGoff,QB
J.Chestnut,JChestnut,RB
R.Harvey,RHarvey,RB
J.Dobbins,JDobbins,RB
A.Beck,ABeck,RB
F.Moreau,FMoreau,RB
C.Washington,CWashington,RB
M.Turner,MTurner,RB
Ty.Johnson,TyJohnson,RB
R.Rice,RRice,WR
D.Smith,DSmith,WR
K.Miller,KMiller,RB
A.Kamara,AKamara,RB
T.Benson,TBenson,RB
J.Conner,JConner,RB
D.Adams,DAdams,WR
C.Akers,CAkers,RB
D.Montgomery,DMontgomery,RB
D.Henry,DHenry,RB
M.Brown,MBrown,RB
K.Coleman,KColeman,RB
R.Ali,RAli,RB
J.Hill,JHill,RB
J.Cook,JCook,RB
D.Neal,DNeal,RB
J.Watson,JWatson,RB
D.Allen,DAllen,RB
T.Harris,THarris,RB
A.Pierce,APierce,RB
M.Pittman,MPittman,WR
J.Reynolds,JReynolds,RB
C.Austin,CAustin,RB
T.Jennings,TJennings,RB
T.Etienne,TEtienne,RB
R.Davis,RDavis,RB
R.Dowdle,RDowdle,RB
B.Thomas,BThomas,WR
B.Tuten,BTuten,RB
L.Allen,LAllen,RB
C.Hubbard,CHubbard,RB
B.Oliver,BOliver,RB
D.Walker,DWalker,RB
J.McLaughlin,JMcLaughlin,RB
D.Dallas,DDallas,RB
J.Smith,JSmith,RB
J.Williams,JWilliams,RB
R.Sanders,RSanders,RB
J.Ford,JFord,RB
D.Sampson,DSampson,RB
K.Vidal,KVidal,RB
H.Haskins,HHaskins,RB
Z.Knight,ZKnight,RB
T.Spears,TSpears,RB
N.Chubb,NChubb,RB
E.Wilson,EWilson,RB
C.Brooks,CBrooks,RB
J.Gibbs,JGibbs,RB
J.Jacobs,JJacobs,RB
A.Dillon,ADillon,RB
M.Sanders,MSanders,RB
W.Shipley,WShipley,RB
S.Barkley,SBarkley,RB
B.Corum,BCorum,RB
A.Abdullah,AAbdullah,RB
K.Mitchell,KMitchell,RB
B.Brooks,BBrooks,RB
J.Blue,JBlue,RB
C.Moore,CMoore,RB
D.Pierce,DPierce,RB
K.Williams,KWilliams,RB
J.Wright,JWright,RB
M.Carter,MCarter,RB
T.Johnson,TJohnson,RB
Z.White,ZWhite,RB
R.Stevenson,RStevenson,RB
A.Jeanty,AJeanty,RB
N.Harris,NHarris,RB
K.Hunt,KHunt,RB
O.Hampton,OHampton,RB
I.Pacheco,IPacheco,RB
O.Gordon,OGordon,RB
D.Achane,DAchane,RB
A.Gibson,AGibson,RB
D.Douglas,DDouglas,RB
T.Henderson,THenderson,RB
H.Luepke,HLuepke,RB
J.Saylors,JSaylors,RB
A.Prentice,APrentice,RB
D.Laube,DLaube,RB
C.Rodriguez,CRodriguez,RB
T.Goodson,TGoodson,RB
T.Brooks,TBrooks,RB
Z.Scott,ZScott,RB
S.Perine,SPerine,RB
N.Carter,NCarter,RB
D.Moore,DMoore,WR
J.Jefferson,JJefferson,WR
D.Swift,DSwift,RB
A.Jones,AJones,RB
U.Bentley,UBentley,RB
D.Giddens,DGiddens,RB
B.Smith,BSmith,RB
B.Hall,BHall,RB
J.McNichols,JMcNichols,RB
D.Singletary,DSingletary,RB
J.Croskey-Merritt,JCroskeyMerritt,RB
C.Skattebo,CSkattebo,RB
T.Tracy,TTracy,RB
A.Ekeler,AEkeler,RB
J.Mason,JMason,RB
G.Holani,GHolani,RB
K.Monangai,KMonangai,RB
K.Gainwell,KGainwell,RB
I.Davis,IDavis,RB
E.Demercado,EDemercado,RB
S.Williams,SWilliams,RB
T.Pollard,TPollard,RB
R.White,RWhite,RB
S.Tucker,STucker,RB
T.Allgeier,TAllgeier,RB
Z.Charbonnet,ZCharbonnet,RB
B.Robinson,BRobinson,RB
C.McCaffrey,CMcCaffrey,RB
K.Walker,KWalker,RB
