season,week,correct,total,ties_skipped,accuracy,close_avg_total,close_avg_correct,close_avg_accuracy
2022,10,19690,27510,220,0.7157397310069066,8482,5044,0.5946710681443056
2022,11,20123,28256,185,0.7121673272933182,8991,5017,0.5580024468913358
2022,12,24610,34836,144,0.7064530944999425,11106,6143,0.5531244372411309
2022,13,25335,35570,208,0.7122575203823447,11330,6368,0.5620476610767873
2022,14,16863,24337,194,0.6928955910753174,7496,4249,0.5668356456776947
2022,15,27172,37339,336,0.7277109724416829,11858,6672,0.5626581210996795
2022,16,25986,36923,205,0.7037889662270129,11554,6509,0.5633546823610871
2022,17,23843,34209,244,0.696980326814581,11216,6360,0.5670470756062768
2023,4,12903,19028,82,0.6781059491276015,5468,3138,0.5738844184345282
2023,5,15703,22052,103,0.7120896063849084,6311,3746,0.5935667881476786
2023,6,18770,25427,224,0.7381916860030676,7161,4106,0.5733836056416701
2023,7,14454,19634,67,0.7361719466232046,5900,3588,0.6081355932203389
2023,8,24658,33995,196,0.7253419620532431,10043,5373,0.5349995021407946
2023,9,20275,28644,276,0.7078271191174417,9076,5245,0.5778977523137946
2023,10,21799,29649,241,0.7352355897332119,9200,5372,0.5839130434782609
2023,11,20141,27757,209,0.7256187628346003,8055,4540,0.563625077591558
2023,12,28247,37749,201,0.7482847227741132,11599,6670,0.5750495732390724
2023,13,18297,24791,185,0.7380500988261869,7269,4072,0.560187095886642
2023,14,25185,35547,231,0.7084986074774242,10865,6229,0.5733087896916705
2023,15,28821,40906,422,0.7045665672517479,13184,7303,0.5539290048543689
2023,16,29273,41068,260,0.7127934157981883,12943,7260,0.5609209611372943
2023,17,26741,37719,231,0.7089530475357247,11964,6756,0.5646940822467402
2024,4,12460,17708,58,0.7036367743392817,5014,2894,0.5771838851216593
2024,5,12663,18461,67,0.685932506364769,5251,2931,0.5581793944010665
2024,6,15399,22228,138,0.6927748785315818,6450,3816,0.5916279069767442
2024,7,17385,25490,161,0.6820321694782268,7564,4250,0.561872025383395
2024,8,24034,33660,270,0.7140225787284611,10323,5882,0.5697956020536665
2024,9,22412,30922,203,0.7247914106461419,9182,5110,0.5565236331953822
2024,10,18431,25741,137,0.7160172487471349,7476,4101,0.5485553772070626
2024,11,22160,30700,176,0.7218241042345277,9302,5301,0.5698774457105998
2024,12,19516,26122,213,0.7471097159482428,8000,4837,0.604625
2024,13,26818,36903,225,0.7267159851502588,10974,6250,0.5695279752141426
2024,14,16879,22601,190,0.7468253617096589,6814,3969,0.5824772527149985
2024,15,28023,39345,276,0.7122378955394586,12029,6742,0.5604788427965749
2024,16,29439,39591,312,0.7435780859286202,11863,6814,0.5743909634999579
2024,17,27970,38539,242,0.7257583227380057,11766,6845,0.5817610062893082
2025,4,13106,18860,55,0.6949098621420997,5214,3134,0.6010740314537782
2025,5,13535,18268,68,0.7409130720385373,5182,3161,0.6099961404862987
2025,6,17309,24634,119,0.7026467483965251,6747,3758,0.5569882910923374
2025,7,19206,27332,163,0.7026928142836236,8104,4684,0.5779861796643633
2025,8,15211,21618,118,0.703626607456749,6456,3675,0.5692379182156134
2025,9,18571,25724,154,0.7219328253770798,7426,4213,0.567330999192028
2025,10,19810,27559,171,0.7188214376428753,8186,4739,0.5789152211092109
2025,11,20670,29985,150,0.689344672336168,9171,5027,0.5481408788572675
2025,12,19190,27056,205,0.7092696629213483,8310,4754,0.5720818291215403
2025,13,24140,34398,318,0.7017849874992732,10409,5925,0.5692189451436257
2025,14,21596,31165,210,0.6929568426119044,9739,5545,0.5693603039326419
2025,15,25935,35528,250,0.7299876154019365,10868,6349,0.5841921236658079
