season,week,position,correct,total,accuracy
2022,10,QB,193,324,0.595679012345679
2022,10,RB,1128,1586,0.7112232030264817
2022,10,WR_TE,6234,9511,0.6554515823782988
2022,10,UNKNOWN,59,81,0.7283950617283951
2022,11,QB,255,378,0.6746031746031746
2022,11,RB,1197,1707,0.7012302284710018
2022,11,WR_TE,6319,9209,0.6861765664024324
2022,11,UNKNOWN,60,104,0.5769230769230769
2022,12,QB,262,378,0.6931216931216931
2022,12,RB,1156,1707,0.677211482132396
2022,12,WR_TE,8273,12335,0.6706931495743819
2022,12,UNKNOWN,116,187,0.6203208556149733
2022,13,QB,299,435,0.6873563218390805
2022,13,RB,1179,1764,0.6683673469387755
2022,13,WR_TE,8559,12770,0.6702427564604542
2022,13,UNKNOWN,87,133,0.6541353383458647
2022,14,QB,171,276,0.6195652173913043
2022,14,RB,801,1221,0.6560196560196561
2022,14,WR_TE,6420,9300,0.6903225806451613
2022,14,UNKNOWN,24,44,0.5454545454545454
2022,15,QB,287,406,0.7068965517241379
2022,15,RB,1334,1885,0.7076923076923077
2022,15,WR_TE,9665,13621,0.7095661111518978
2022,15,UNKNOWN,70,135,0.5185185185185185
2022,16,QB,307,496,0.6189516129032258
2022,16,RB,1431,2072,0.6906370656370656
2022,16,WR_TE,8383,12293,0.6819328072887009
2022,16,UNKNOWN,82,147,0.5578231292517006
2022,17,QB,244,378,0.6455026455026455
2022,17,RB,1167,1704,0.6848591549295775
2022,17,WR_TE,8465,12719,0.6655397436905417
2022,17,UNKNOWN,64,104,0.6153846153846154
2023,4,QB,216,378,0.5714285714285714
2023,4,RB,603,901,0.6692563817980022
2023,4,WR_TE,4142,6287,0.6588197868617782
2023,4,UNKNOWN,41,65,0.6307692307692307
2023,5,QB,224,406,0.5517241379310345
2023,5,RB,765,1076,0.7109665427509294
2023,5,WR_TE,4784,7108,0.6730444569499155
2023,5,UNKNOWN,54,95,0.5684210526315789
2023,6,QB,233,406,0.5738916256157636
2023,6,RB,973,1272,0.764937106918239
2023,6,WR_TE,5707,8146,0.7005892462558311
2023,6,UNKNOWN,68,142,0.4788732394366197
2023,7,QB,111,276,0.40217391304347827
2023,7,RB,666,901,0.7391786903440621
2023,7,WR_TE,4989,6985,0.7142448103078024
2023,7,UNKNOWN,33,75,0.44
2023,8,QB,231,405,0.5703703703703704
2023,8,RB,1535,2011,0.7633018398806564
2023,8,WR_TE,7475,11248,0.6645625889046942
2023,8,UNKNOWN,70,141,0.49645390070921985
2023,9,QB,145,230,0.6304347826086957
2023,9,RB,1170,1531,0.7642064010450685
2023,9,WR_TE,6149,9471,0.6492450638792102
2023,9,UNKNOWN,145,259,0.5598455598455598
2023,10,QB,209,300,0.6966666666666667
2023,10,RB,1000,1482,0.6747638326585695
2023,10,WR_TE,7122,10036,0.70964527700279
2023,10,UNKNOWN,148,221,0.669683257918552
2023,11,QB,237,325,0.7292307692307692
2023,11,RB,1201,1702,0.7056404230317274
2023,11,WR_TE,6174,8794,0.7020695929042529
2023,11,UNKNOWN,81,150,0.54
2023,12,QB,315,435,0.7241379310344828
2023,12,RB,1536,2009,0.7645594823295172
2023,12,WR_TE,9013,12620,0.7141838351822504
2023,12,UNKNOWN,80,227,0.3524229074889868
2023,13,QB,216,325,0.6646153846153846
2023,13,RB,941,1218,0.7725779967159278
2023,13,WR_TE,5690,8024,0.709122632103689
2023,13,UNKNOWN,89,186,0.478494623655914
2023,14,QB,184,378,0.48677248677248675
2023,14,RB,1395,1943,0.7179619145651055
2023,14,WR_TE,8113,11817,0.6865532707116866
2023,14,UNKNOWN,125,225,0.5555555555555556
2023,15,QB,300,465,0.6451612903225806
2023,15,RB,1359,2071,0.65620473201352
2023,15,WR_TE,9133,13190,0.6924184988627748
2023,15,UNKNOWN,164,349,0.4699140401146132
2023,16,QB,279,435,0.6413793103448275
2023,16,RB,1609,2271,0.7084984588287098
2023,16,WR_TE,9023,13067,0.690518099028086
2023,16,UNKNOWN,191,342,0.5584795321637427
2023,17,QB,363,528,0.6875
2023,17,RB,1461,2136,0.6839887640449438
2023,17,WR_TE,8650,12615,0.6856916369401506
2023,17,UNKNOWN,81,128,0.6328125
2024,4,QB,277,406,0.6822660098522167
2024,4,RB,763,1079,0.7071362372567191
2024,4,WR_TE,3722,5427,0.6858301087156808
2024,4,UNKNOWN,20,28,0.7142857142857143
2024,5,QB,178,299,0.5953177257525084
2024,5,RB,568,860,0.6604651162790698
2024,5,WR_TE,3822,5963,0.6409525406674492
2024,5,UNKNOWN,51,120,0.425
2024,6,QB,168,276,0.6086956521739131
2024,6,RB,704,1124,0.6263345195729537
2024,6,WR_TE,5261,8043,0.6541091632475444
2024,6,UNKNOWN,37,65,0.5692307692307692
2024,7,QB,245,325,0.7538461538461538
2024,7,RB,1114,1538,0.7243172951885566
2024,7,WR_TE,5909,9082,0.6506276150627615
2024,7,UNKNOWN,17,35,0.4857142857142857
2024,8,QB,285,465,0.6129032258064516
2024,8,RB,1404,1879,0.7472059606173497
2024,8,WR_TE,7513,11060,0.6792947558770344
2024,8,UNKNOWN,87,150,0.58
2024,9,QB,285,465,0.6129032258064516
2024,9,RB,1249,1705,0.7325513196480938
2024,9,WR_TE,7154,10319,0.6932842329683109
2024,9,UNKNOWN,61,98,0.6224489795918368
