week,off_team_name,player_name,receptions_avg,average_passing_yards,average_rushing_yards,average_recieving_yards,passing_tds_avg,rushing_tds_avg,recieving_tds_avg,average_fantasy_points,week_fantasy_points,bust_percent,bust_points_average,boom_percent,boom_points_average,last_three_weeks_diff,redzone_carries,redzone_targets,completion_percentage,position_ranking,position,passing_target_percentage,rushing_percentage,def_team_name,epa_per_play,epa_per_rush,epa_per_pass,pass_percent,rush_percent,third_down_completion,fourth_down_completion,success_rate,home_team,win_percentage,allowed_passing_yards,allowed_rushing_yards,sack_yards,avg_epa_against,pass_epa_against,rush_epa_against,points_against,third_down_allowed,fourth_down_allowed,season
4,TEN,R.Tannehill,0.0,252.0,33.333333333333336,0.0,1.3333333333333333,0.3333333333333333,0.0,16.746666666666666,18.82,0.0,0.0,0.0,0.0,0.0,2,0,0.5892857142857143,1.0,0,0.0,0.0222222222222222,NYJ,-0.0470905687445601,0.0641149264406636,-0.1422664430021841,53.80952380952381,46.19047619047619,0.425,0.4,0.4166666666666667,1,0.6666666666666666,231.0,99.66666666666669,-16.0,-0.0483494607463085,0.104701383714759,-0.2351907513870922,23.33333333333333,0.376068376068376,0.1042471042471042,2021
5,TEN,R.Tannehill,0.0,263.5,27.25,0.0,1.25,0.25,0.0,17.265,13.98,0.0,0.0,0.0,0.0,1.0283333333333324,3,0,0.5680473372781065,1.0,0,0.0,0.032,JAX,-0.0343145815920709,0.057553229097497,-0.1068126731603445,55.92105263157895,44.07894736842105,0.3728813559322034,0.5,0.4375,1,0.5,320.75,98.75,-8.5,0.1841502357773706,0.3801463772262786,-0.0450655906628776,27.25,0.3653846153846153,0.1189591078066914,2021
6,TEN,R.Tannehill,0.0,250.2,26.0,0.0,1.2,0.2,0.0,16.607999999999997,12.94,0.0,0.0,0.0,0.0,1.4853333333333367,3,0,0.5670103092783505,1.0,0,0.0,0.0375,BUF,0.0160331512765043,0.1011486036841167,-0.0583871657500467,53.42465753424658,46.57534246575342,0.3857142857142857,0.5555555555555556,0.45,1,0.6,188.2,76.0,-14.8,-0.2925891065632159,-0.3097011807992831,-0.2612452082100238,11.6,0.3677298311444653,0.1318681318681318,2021
7,TEN,R.Tannehill,0.0,244.5,22.166666666666668,0.0,1.0,0.3333333333333333,0.0,15.996666666666668,19.4,0.0,0.0,0.0,0.0,-0.7500000000000036,4,0,0.5739910313901345,1.0,0,0.0,0.0386740331491712,KC,0.0449653636422241,0.1196260367713179,-0.0188355752135468,53.97590361445784,46.024096385542165,0.3875,0.6,0.4583333333333333,1,0.6666666666666666,286.3333333333333,132.66666666666666,-10.166666666666666,0.1893442655211893,0.2427080630038726,0.1148498368205306,28.33333333333333,0.4159132007233273,0.1487603305785124,2021
8,TEN,R.Tannehill,0.0,248.14285714285717,19.857142857142858,0.0,1.0,0.4285714285714285,0.0,16.482857142857146,21.2,0.0,0.0,0.0,0.0,-1.0428571428571465,5,0,0.596,1.0,0,0.0,0.0328638497652582,IND,0.0639673331855684,0.0866294288925305,0.0436811023511103,52.83018867924528,47.16981132075472,0.4239130434782608,0.6,0.4814814814814814,1,0.7142857142857143,253.14285714285717,111.71428571428572,-13.142857142857142,0.0233918549008785,0.1398244813540889,-0.1248529645723347,21.285714285714285,0.3709327548806941,0.1282051282051282,2021
9,TEN,R.Tannehill,0.0,250.25,20.625,0.0,1.25,0.375,0.0,17.072499999999998,14.02,0.0,0.0,0.0,0.0,0.7741666666666696,5,0,0.6013986013986014,1.0,0,0.0,0.037037037037037,LA,0.0683107123615483,0.0735144956464604,0.0637094724043628,53.125,46.875,0.4311926605504587,0.6666666666666666,0.4838709677419355,1,0.75,286.125,103.875,-24.375,-0.0215368574517522,-0.0286376731176943,-0.0082947958044549,20.25,0.3758620689655172,0.1081081081081081,2021
10,TEN,R.Tannehill,0.0,238.33333333333331,18.666666666666668,0.0,1.2222222222222223,0.4444444444444444,0.0,16.733333333333334,18.62,0.0,0.0,0.0,0.0,1.4733333333333292,7,0,0.6044303797468354,1.0,0,0.0,0.0410447761194029,NO,0.0584917458472186,0.0668114637781926,0.0511289283811489,53.255425709515855,46.74457429048415,0.4214876033057851,0.7142857142857143,0.5142857142857142,1,0.7777777777777778,282.625,73.375,-15.625,-0.0919624135307663,-0.0484751813250641,-0.1672754972389658,19.375,0.340122199592668,0.0677966101694915,2021
11,TEN,R.Tannehill,0.0,235.8,16.9,0.0,1.2,0.5,0.0,16.922000000000004,9.22,0.0,0.0,0.0,0.0,1.0246666666666613,9,0,0.6086956521739131,1.0,0,0.0,0.0442176870748299,HOU,0.0476626976738928,0.040619509629761,0.0539233092686767,53.12977099236641,46.87022900763359,0.4060150375939849,0.7142857142857143,0.5263157894736842,1,0.8,258.6666666666667,135.77777777777777,-14.77777777777778,0.0720972314725664,0.1338959199418498,-0.0020611946905735,28.666666666666668,0.3841336116910229,0.0772200772200772,2021
12,TEN,R.Tannehill,0.0,243.72727272727272,15.636363636363637,0.0,1.181818181818182,0.4545454545454545,0.0,16.221818181818183,8.120000000000001,0.0909090909090909,-7.001818181818182,0.0,0.0,-2.268484848484849,9,0,0.6140350877192983,1.0,0,0.0,0.0470219435736677,NE,0.0252482353735716,0.0230615233735294,0.0270695727103157,54.76839237057221,45.23160762942779,0.4054054054054054,0.6666666666666666,0.5,1,0.7272727272727273,228.0,99.54545454545456,-18.181818181818183,-0.0899165794588315,-0.095946454660994,-0.0804106585518931,15.0,0.3859275053304904,0.1264822134387351,2021
14,TEN,R.Tannehill,0.0,231.16666666666663,16.333333333333332,0.0,1.1666666666666667,0.4166666666666667,0.0,15.546666666666669,16.54,0.1666666666666666,-6.876666666666666,0.0,0.0,-3.5600000000000023,9,0,0.6066350710900474,1.0,0,0.0,0.0451977401129943,JAX,0.0145699301719798,0.0314715166442007,-0.0003050871788716,53.459119496855344,46.540880503144656,0.4088050314465409,0.6190476190476191,0.4782608695652174,1,0.6666666666666666,256.9166666666667,114.5,-12.916666666666666,0.1142360572403399,0.204935741778473,0.0006546893688783,25.166666666666668,0.3653846153846153,0.1189591078066914,2021
