week,off_team_name,player_name,receptions_avg,average_passing_yards,average_rushing_yards,average_recieving_yards,passing_tds_avg,rushing_tds_avg,recieving_tds_avg,average_fantasy_points,week_fantasy_points,bust_percent,bust_points_average,boom_percent,boom_points_average,last_three_weeks_diff,redzone_carries,redzone_targets,completion_percentage,position_ranking,position,passing_target_percentage,rushing_percentage,def_team_name,epa_per_play,epa_per_rush,epa_per_pass,pass_percent,rush_percent,third_down_completion,fourth_down_completion,success_rate,home_team,win_percentage,allowed_passing_yards,allowed_rushing_yards,sack_yards,avg_epa_against,pass_epa_against,rush_epa_against,points_against,third_down_allowed,fourth_down_allowed
4,TEN,R.Tannehill,0.0,252.0,33.333333333333336,0.0,1.3333333333333333,0.3333333333333333,0.0,16.746666666666666,18.82,0.0,0.0,0.0,0.0,0.0,2,0,0.5892857142857143,1,0,0.0,0.022222222222222223,NYJ,-0.04709056874456016,0.0641149264406636,-0.14226644300218413,53.80952380952381,46.19047619047619,0.425,0.4,0.4166666666666667,1,0.6666666666666666,231.0,99.66666666666667,-16.0,-0.048349460746308526,0.10470138371475902,-0.23519075138709222,23.333333333333332,0.37606837606837606,0.10424710424710425
5,TEN,R.Tannehill,0.0,263.5,27.25,0.0,1.25,0.25,0.0,17.265,13.98,0.0,0.0,0.0,0.0,1.0283333333333324,3,0,0.5680473372781065,1,0,0.0,0.032,JAX,-0.034314581592070965,0.05755322909749704,-0.10681267316034453,55.92105263157895,44.07894736842105,0.3728813559322034,0.5,0.4375,1,0.5,320.75,98.75,-8.5,0.18415023577737064,0.38014637722627864,-0.045065590662877665,27.25,0.36538461538461536,0.11895910780669144
6,TEN,R.Tannehill,0.0,250.2,26.0,0.0,1.2,0.2,0.0,16.607999999999997,12.940000000000001,0.0,0.0,0.0,0.0,1.4853333333333367,3,0,0.5670103092783505,1,0,0.0,0.0375,BUF,0.01603315127650436,0.10114860368411674,-0.05838716575004679,53.42465753424658,46.57534246575342,0.38571428571428573,0.5555555555555556,0.45,1,0.6,188.2,76.0,-14.8,-0.29258910656321596,-0.30970118079928316,-0.2612452082100238,11.6,0.3677298311444653,0.13186813186813187
7,TEN,R.Tannehill,0.0,244.5,22.166666666666668,0.0,1.0,0.3333333333333333,0.0,15.996666666666668,19.4,0.0,0.0,0.0,0.0,-0.7500000000000036,4,0,0.5739910313901345,1,0,0.0,0.03867403314917127,KC,0.04496536364222415,0.11962603677131792,-0.018835575213546882,53.975903614457835,46.024096385542165,0.3875,0.6,0.4583333333333333,1,0.6666666666666666,286.3333333333333,132.66666666666666,-10.166666666666666,0.1893442655211893,0.2427080630038726,0.11484983682053068,28.333333333333332,0.4159132007233273,0.1487603305785124
8,TEN,R.Tannehill,0.0,248.14285714285714,19.857142857142858,0.0,1.0,0.42857142857142855,0.0,16.482857142857146,21.2,0.0,0.0,0.0,0.0,-1.0428571428571463,5,0,0.596,1,0,0.0,0.03286384976525822,IND,0.0639673331855684,0.08662942889253053,0.04368110235111035,52.83018867924528,47.16981132075472,0.42391304347826086,0.6,0.48148148148148145,1,0.7142857142857143,253.14285714285714,111.71428571428571,-13.142857142857142,0.023391854900878535,0.13982448135408893,-0.1248529645723347,21.285714285714285,0.37093275488069416,0.1282051282051282
9,TEN,R.Tannehill,0.0,250.25,20.625,0.0,1.25,0.375,0.0,17.072499999999998,14.02,0.0,0.0,0.0,0.0,0.7741666666666696,5,0,0.6013986013986014,1,0,0.0,0.037037037037037035,LA,0.06831071236154834,0.07351449564646047,0.06370947240436287,53.125,46.875,0.43119266055045874,0.6666666666666666,0.4838709677419355,1,0.75,286.125,103.875,-24.375,-0.021536857451752274,-0.02863767311769431,-0.008294795804454982,20.25,0.3758620689655172,0.10810810810810811
10,TEN,R.Tannehill,0.0,238.33333333333334,18.666666666666668,0.0,1.2222222222222223,0.4444444444444444,0.0,16.733333333333334,18.619999999999997,0.0,0.0,0.0,0.0,1.4733333333333292,7,0,0.6044303797468354,1,0,0.0,0.041044776119402986,NO,0.0584917458472186,0.06681146377819261,0.05112892838114893,53.255425709515855,46.744574290484145,0.4214876033057851,0.7142857142857143,0.5142857142857142,1,0.7777777777777778,282.625,73.375,-15.625,-0.09196241353076638,-0.048475181325064114,-0.16727549723896584,19.375,0.34012219959266804,0.06779661016949153
11,TEN,R.Tannehill,0.0,235.8,16.9,0.0,1.2,0.5,0.0,16.922000000000004,9.22,0.0,0.0,0.0,0.0,1.0246666666666613,9,0,0.6086956521739131,1,0,0.0,0.04421768707482993,HOU,0.04766269767389289,0.04061950962976104,0.053923309268676764,53.12977099236641,46.87022900763359,0.40601503759398494,0.7142857142857143,0.5263157894736842,1,0.8,258.6666666666667,135.77777777777777,-14.777777777777779,0.07209723147256648,0.13389591994184988,-0.002061194690573577,28.666666666666668,0.38413361169102295,0.07722007722007722
12,TEN,R.Tannehill,0.0,243.72727272727272,15.636363636363637,0.0,1.1818181818181819,0.45454545454545453,0.0,16.221818181818183,8.120000000000001,0.09090909090909091,-7.001818181818182,0.0,0.0,-2.2684848484848494,9,0,0.6140350877192983,1,0,0.0,0.047021943573667714,NE,0.025248235373571692,0.023061523373529437,0.027069572710315775,54.76839237057221,45.23160762942779,0.40540540540540543,0.6666666666666666,0.5,1,0.7272727272727273,228.0,99.54545454545455,-18.181818181818183,-0.08991657945883158,-0.09594645466099402,-0.08041065855189314,15.0,0.3859275053304904,0.12648221343873517
14,TEN,R.Tannehill,0.0,231.16666666666666,16.333333333333332,0.0,1.1666666666666667,0.4166666666666667,0.0,15.546666666666667,16.54,0.16666666666666666,-6.876666666666666,0.0,0.0,-3.5600000000000023,9,0,0.6066350710900474,1,0,0.0,0.04519774011299435,JAX,0.014569930171979823,0.031471516644200705,-0.0003050871788716588,53.459119496855344,46.540880503144656,0.4088050314465409,0.6190476190476191,0.4782608695652174,1,0.6666666666666666,256.9166666666667,114.5,-12.916666666666666,0.11423605724033993,0.20493574177847307,0.0006546893688783071,25.166666666666668,0.36538461538461536,0.11895910780669144
