week,off_team_name,player_name,receptions_avg,average_passing_yards,average_rushing_yards,average_recieving_yards,passing_tds_avg,rushing_tds_avg,recieving_tds_avg,average_fantasy_points,week_fantasy_points,bust_percent,bust_points_average,boom_percent,boom_points_average,last_three_weeks_diff,passing_target_percentage,rushing_percentage,def_team_name,epa_per_play,epa_per_rush,epa_per_pass,pass_percent,rush_percent,allowed_passing_yards,allowed_rushing_yards,sack_yards,avg_epa_against,pass_epa_against,rush_epa_against,points_against
4,ARI,K.Murray,0.0,211.66666666666666,53.666666666666664,0.0,1.6666666666666667,0.0,0.0,19.166666666666668,0,0.0,19.166666666666668,0.3333333333333333,28.54,0.0,0.0,0.06756756756756757,WAS,0.045860943243881624,-0.025263697323750632,0.10916968924364222,52.57142857142857,47.42857142857143,262.0,122.33333333333333,-8.0,0.27849782341446144,0.4753241518192471,0.0001291589562646665,29.333333333333332
5,ARI,K.Murray,0.0,194.25,41.0,0.0,1.5,0.0,0.0,16.87,0,0.25,9.98,0.25,28.54,0.8966666666666647,0.0,0.04807692307692308,SF,0.016527601889496937,-0.0010316067924176023,0.03333641703799633,50.64377682403433,49.35622317596567,210.25,97.0,-16.0,-0.08061846974211773,-0.08076003871312151,-0.08042971111411262,20.5
6,ARI,K.Murray,0.0,194.4,49.4,0.0,1.4,0.2,0.0,18.316000000000003,0,0.2,9.98,0.2,28.54,-2.029333333333337,0.0,0.06299212598425197,GB,0.03126687204868677,0.05572735211804073,0.008636768038944344,51.55709342560554,48.44290657439446,255.4,110.2,-23.8,-0.09307253881159736,-0.08011986553960275,-0.11281491984713753,20.4
7,ARI,K.Murray,0.0,197.66666666666666,43.5,0.0,1.3333333333333333,0.16666666666666666,0.0,17.256666666666664,0,0.16666666666666666,9.98,0.3333333333333333,26.32,-1.9099999999999984,0.0,0.06993006993006994,LAC,0.004080993973589736,0.011563208929719664,-0.002398018977249033,52.616279069767444,47.383720930232556,199.8,95.2,-17.4,-0.19327430225281436,-0.18394161529385916,-0.2071869189231086,13.2
8,ARI,K.Murray,0.0,190.14285714285714,46.42857142857143,0.0,1.2857142857142858,0.2857142857142857,0.0,17.677142857142858,0,0.14285714285714285,9.98,0.2857142857142857,26.32,1.076190476190476,0.0,0.0658682634730539,MIA,0.008440274583947981,0.022185253667903564,-0.0037625848954662778,52.141057934508815,47.858942065491185,159.33333333333334,130.83333333333334,-10.333333333333334,-0.0903141435687661,-0.09528801592162431,-0.08552448871045815,20.166666666666668
9,ARI,K.Murray,0.0,204.75,43.0,0.0,1.375,0.25,0.0,18.24,0,0.25,10.969999999999999,0.125,28.54,-0.12666666666666515,0.0,0.07329842931937172,CHI,0.046963474810549924,0.016652735135111296,0.0728722398443273,52.94117647058824,47.05882352941176,213.57142857142858,118.14285714285714,-20.714285714285715,-0.11633791330645596,-0.18360865678354665,-0.019213289588052854,17.0
10,ARI,K.Murray,0.0,199.11111111111111,38.888888888888886,0.0,1.2222222222222223,0.2222222222222222,0.0,16.742222222222225,0,0.2222222222222222,7.369999999999999,0.2222222222222222,26.32,-1.0288888888888934,0.0,0.07111111111111111,NYJ,0.03379268477903379,0.02820797301813645,0.038869695470758636,51.55038759689923,48.44961240310077,178.11111111111111,128.0,-23.0,-0.05883887483450512,-0.15276824041158413,0.04336779115741231,19.666666666666668
12,ARI,K.Murray,0.0,205.8,37.1,0.0,1.2,0.4,0.0,17.942,0,0.2,7.369999999999999,0.3,27.126666666666665,0.6179999999999986,0.0,0.07450980392156863,SEA,0.06917662310623837,0.038620654187090264,0.09772372209644593,50.87412587412587,49.12587412587413,214.2,137.5,-16.1,0.014458507558673176,0.004172321665929406,0.027250782378012713,22.2
13,ARI,K.Murray,0.0,213.0,34.54545454545455,0.0,1.0909090909090908,0.36363636363636365,0.0,17.247272727272726,0,0.2727272727272727,8.346666666666668,0.2727272727272727,27.12666666666667,-2.6472727272727266,0.0,0.0749063670411985,MIN,0.062041782015910825,0.022832809625000214,0.09576864884456646,53.025477707006374,46.97452229299363,263.27272727272725,74.0,-23.727272727272727,-0.14080300629749054,-0.08826714960650345,-0.24875339675842284,17.181818181818183
14,ARI,K.Murray,0.0,216.91666666666666,35.666666666666664,0.0,1.0833333333333333,0.3333333333333333,0.0,17.076666666666668,0,0.25,8.346666666666666,0.25,27.12666666666667,1.0033333333333339,0.0,0.07508532423208192,SEA,0.06211295315630645,0.027045162910405242,0.09163382751880778,53.69318181818182,46.30681818181818,216.41666666666666,126.08333333333333,-17.75,-0.014540084535855894,-0.024593428258827467,-0.0007656980063299215,20.75
15,ARI,K.Murray,0.0,220.15384615384616,34.15384615384615,0.0,1.1538461538461537,0.3076923076923077,0.0,17.144615384615385,0,0.23076923076923078,8.346666666666666,0.23076923076923078,27.126666666666672,-2.6579487179487185,0.0,0.0732484076433121,NE,0.049908496494832866,0.022717949156515954,0.07202961975312457,54.49804432855281,45.5019556714472,222.23076923076923,124.0,-11.615384615384615,0.04874541654919334,0.09774363222166647,-0.008103341965830704,22.692307692307693
16,ARI,K.Murray,0.0,220.42857142857142,32.5,0.0,1.0714285714285714,0.2857142857142857,0.0,16.638571428571428,0,0.2857142857142857,8.774999999999999,0.21428571428571427,27.12666666666667,-2.23190476190476,0.0,0.07038123167155426,CAR,0.06028121381985725,0.023971239235766485,0.09022674342066916,54.21686746987952,45.78313253012048,224.64285714285714,172.07142857142858,-13.214285714285714,0.12218281735021319,0.11804773085948451,0.1262276181097033,29.428571428571427
17,ARI,K.Murray,0.0,219.2,34.53333333333333,0.0,1.0666666666666667,0.3333333333333333,0.0,16.888,0,0.26666666666666666,8.775,0.2,27.12666666666667,-0.7546666666666653,0.0,0.07142857142857142,LA,0.06667537156961838,0.045230518844807985,0.08440431035672677,54.25055928411633,45.74944071588367,234.8,130.13333333333333,-17.133333333333333,0.033433300885959964,0.06536834930456649,-0.004002521422932838,23.133333333333333
4,BUF,J.Allen,0.0,211.33333333333334,28.333333333333332,0.0,2.3333333333333335,0.6666666666666666,0.0,23.953333333333333,0,0.3333333333333333,9.760000000000002,0.6666666666666666,31.05,0.0,0.0,0.07042253521126761,BAL,0.29631164733062465,0.10449664813768411,0.5065198656242581,47.46835443037975,52.53164556962025,310.0,48.666666666666664,-23.666666666666668,-0.009828232546934611,0.06895588049989317,-0.20836419742494058,26.0
5,BUF,J.Allen,0.0,203.5,26.5,0.0,1.75,0.5,0.0,19.79,0,0.5,8.530000000000001,0.5,31.05,-3.796666666666665,0.0,0.07692307692307693,HOU,0.202933004774048,0.08687426619533953,0.315707062072227,50.697674418604656,49.30232558139535,176.75,112.0,-23.0,-0.06176732982378326,-0.16785087227469797,0.08467408203780553,23.5
6,BUF,J.Allen,0.0,189.0,32.0,0.0,1.6,0.4,0.0,18.76,0,0.4,8.530000000000001,0.4,31.049999999999997,-1.1400000000000006,0.0,0.06086956521739131,NYJ,0.14644285025385423,0.08282491257694888,0.2068102363706257,51.09489051094891,48.9051094890511,156.8,112.2,-24.6,-0.18475128757023754,-0.29448816135920186,-0.054230914957605694,15.8
7,BUF,J.Allen,0.0,193.33333333333334,29.666666666666668,0.0,1.6666666666666667,0.5,0.0,19.7,0,0.3333333333333333,8.530000000000001,0.3333333333333333,31.05,-4.253333333333332,0.0,0.07042253521126761,TEN,0.17030556666011196,0.09998828159196574,0.2389077959948888,50.453172205438065,49.546827794561935,148.6,110.8,-14.2,-0.11470409104229855,-0.09370738551286646,-0.13694504578828953,18.4
8,BUF,J.Allen,0.0,211.85714285714286,25.571428571428573,0.0,1.7142857142857142,0.42857142857142855,0.0,19.888571428571428,0,0.2857142857142857,8.53,0.2857142857142857,31.05,0.13142857142857167,0.0,0.07453416149068323,SEA,0.17735164864140032,0.08336721155041221,0.262792045996844,52.2077922077922,47.79220779220779,200.28571428571428,145.0,-20.857142857142858,-0.0392922213148863,-0.07575197935286158,0.004459488330684029,22.0
