player_name,abbreviation
A.J. Brown,A.Brown
Ahmarean Brown,Ah.Brown
Ainias Smith,A.Smith
Arian Smith,Ar.Smith
Braelon Allen,B.Allen
Brandon Allen,Bran.Allen
Brandon Smith,B.Smith
Brashard Smith,Bras.Smith
Cam Johnson,C.Johnson
Cornelius Johnson,Co.Johnson
D'Ernest Johnson,D.Johnson
Dillon Johnson,Di.Johnson
Dante Miller,D.Miller
Dymere Miller,Dy.Miller
D.J. Montgomery,D.Montgomery
David Montgomery,Da.Montgomery
DJ Moore,D.Moore
David Moore,Da.Moore
Jake Allen,J.Allen
Josh Allen,Jo.Allen
Ja'Corey Brooks,J.Brooks
Jalen Brooks,Jal.Brooks
Jonathon Brooks,Jo.Brooks
Julian Hill,J.Hill
Justice Hill,Jus.Hill
Ja'Quinden Jackson,J.Jackson
JaQuae Jackson,JaQ.Jackson
Jha'Quan Jackson,Jh.Jackson
Justin Jackson,Ju.Jackson
Jermar Jefferson,J.Jefferson
Justin Jefferson,Ju.Jefferson
Jakob Johnson,J.Johnson
Jaylen Johnson,Jay.Johnson
Jerome Johnson,Je.Johnson
Josh Johnson,Jo.Johnson
Juwan Johnson,Ju.Johnson
J.J. Jones,J.Jones
Jacoby Jones,Ja.Jones
Jeshaun Jones,Je.Jones
Jesse Matthews,J.Matthews
John Matthews,Jo.Matthews
Jameson Williams,J.Williams
Javonte Williams,Jav.Williams
Josh Williams,Jo.Williams
Joel Wilson,J.Wilson
Johnny Wilson,Joh.Wilson
Jacardia Wright,J.Wright
Jaylen Wright,Jay.Wright
Kazmeir Allen,K.Allen
Keenan Allen,Ke.Allen
Kyle Allen,Ky.Allen
Kaleb Johnson,K.Johnson
Kameron Johnson,Kam.Johnson
Kisean Johnson,Ki.Johnson
Ke'Shawn Williams,K.Williams
Kyle Williams,Kyl.Williams
Kyren Williams,Kyr.Williams
Lamar Jackson,L.Jackson
Lucky Jackson,Lu.Jackson
Mike Evans,M.Evans
Mitchell Evans,Mit.Evans
Robert Johnson,R.Johnson
Roschon Johnson,Ros.Johnson
Roman Wilson,R.Wilson
Russell Wilson,Ru.Wilson
Taysom Hill,T.Hill
Tyreek Hill,Ty.Hill
Tez Johnson,T.Johnson
Theo Johnson,Th.Johnson
Ty Johnson,Ty.Johnson
Tyler Johnson,Tyl.Johnson
Tejhaun Palmer,T.Palmer
Trey Palmer,Tr.Palmer
Trent Taylor,T.Taylor
Tyrod Taylor,Ty.Taylor
